"","4","13","10H","11H","13H","25H","26H","28_27H","9H"
"ENSG00000150768.17",9.13903227964628,9.41535793451964,9.51788167887407,9.18950140585558,9.29479659852628,8.62678907713043,9.63095714321653,9.45833271638074,9.81515545622134
"ENSG00000150776.18",9.14230218482908,9.27725114097298,9.12736872202535,9.37704156841624,9.300294501481,9.11213898370588,9.52782883291853,9.49106323628055,10.0421001225867
"ENSG00000150779.12",7.28765991327567,7.61621918404648,8.0514907194763,7.51628942598573,7.59543192441489,8.6356783143793,7.96165222937369,7.54835356307359,8.72732567411041
"ENSG00000150782.12",7.28765991327567,7.62269839819431,7.94910189167392,7.34920668732067,7.68133610398401,7.98592925673623,7.21346128965967,7.69102473249292,7.27588160474545
"ENSG00000150787.8",8.34760274576828,7.72212528217454,7.60780810646477,7.70903485763531,7.58267065967899,8.05527615558196,7.59160305794501,7.83370278810199,7.8602111336051
"ENSG00000150867.14",13.845440662745,14.2359158495554,13.6044859078739,13.3931838182178,14.4226180468209,15.8796264945542,14.058370491511,13.628047374224,12.9154315930759
"ENSG00000150873.12",6.97401747874,6.44038807042066,6.87978822122501,7.09439606318953,6.53708192091893,6.73469156523035,6.93072961764017,6.78768160312261,6.8328547605837
"ENSG00000150907.10",11.8919636430699,11.6556882105784,11.5098462294179,12.0051253806856,11.6446270103395,11.2031929735085,11.630250382146,11.5268051635943,11.5131649926035
"ENSG00000150938.10",9.39864620749086,8.61070142702152,8.78400373074982,7.97751721654031,8.5421131086396,8.3996706381805,9.01091820244552,9.31202850110166,8.27778797847055
"ENSG00000150961.15",10.338594035036,10.8365295459925,10.7416007273577,10.6167982979661,10.7651104753686,10.5179291699904,10.603586848833,10.6463867360831,9.8295464528061
"ENSG00000150967.19",8.24607472254934,8.06250889465956,8.5223280345883,8.59229095199325,8.35111350823196,7.53100254668214,8.9392443154525,8.13751869948871,8.51409355663175
"ENSG00000150977.11",10.1768703894579,10.8495177597598,10.6382270301519,10.4309175426498,10.8582526381285,11.3899941273876,10.3846107753482,10.6607864369792,10.3437446796156
"ENSG00000150990.9",10.1941995248628,10.0351930873655,10.1852395710581,10.3246806780053,9.85057188964078,9.82366075412153,10.0377227245837,9.84307252699731,9.96839828102776
"ENSG00000150991.16",13.2939470215472,14.0229397437787,13.7751823312068,13.9468432471651,14.0357332935264,14.3938445326662,13.7548009344825,13.7358174948313,13.491997056573
