"","4","11","12","13","14","19","20","27","28","10H","11H","13H","25H","26H","28_27H","9H"
"ENSG00000003436.16",8.1078352943237,7.65270796289888,7.96995931261496,7.31016540635241,8.03685216309468,8.10383037468782,7.87777477012962,7.38205115742036,7.6299202423116,7.45799529519714,7.51170385220174,7.03854703065331,9.03476250805586,7.62985320908979,7.17145044679653,6.28851575246132
"ENSG00000003509.16",9.19846430709227,8.81271799560492,8.76086824613391,8.99446651538026,9.14571548065886,8.92392893390919,9.27210697326876,8.73182009716855,9.23670865713685,9.01403172646255,8.67925007736278,9.19716928890022,8.8261568314469,9.00863407452608,8.67342666653152,9.27657093588629
"ENSG00000003756.17",13.4481751848138,13.3736312894431,13.1145545991462,13.4163492044312,13.3218756588494,13.3518956982813,13.2956655911587,13.3585993121963,13.3440287983479,13.2502310611294,13.3519918471141,13.3214668602224,13.5089858188896,13.2099470368105,13.4228852738172,13.2313564466424
"ENSG00000004059.11",10.6001516746471,11.3930455947473,11.1432991019842,11.5125923693647,11.5280897128118,11.7762074177101,11.3603252499078,11.5210613589928,11.5434429881834,11.558091259522,11.2168430049785,11.5904969144721,12.0238783986224,11.3070167518079,11.3508208517005,11.161052688475
"ENSG00000004139.14",11.1817636707784,10.4773754336354,11.0711707753045,10.7696677578713,10.8522143552398,10.7077365384656,11.0524559573823,11.1121020654593,11.2170274719202,11.2264000088086,11.4665010521529,10.9946645011137,10.5845673387061,11.1332944532068,10.8698542014986,11.5066042998048
"ENSG00000004142.12",9.67916165215263,10.3166643112758,10.5176348427228,10.4450734339115,10.5222316331918,10.5651050175716,10.3779794016349,10.3573831361789,10.4576844457627,10.3607238490073,10.5158298978288,10.6380997469816,10.7149952068543,10.3896440935867,10.3750173280152,10.1339818611753
"ENSG00000004399.13",11.5847887088378,11.402307943019,12.1488175697718,12.4834095694859,11.9923036515835,11.7392173817114,11.6545056099744,11.4640965645481,11.4921592312355,11.9739161494651,11.4611322994897,11.9257423149818,12.8621529067362,11.9397864339118,11.8461647770483,11.6233513085191
"ENSG00000004455.18",11.8198738875763,12.1155140532906,11.947999525675,11.8938764636386,11.9395685823164,11.8056757321287,11.9621954556974,12.229673830309,11.9013686251652,12.2001296883264,12.3023177621913,12.0739958398376,12.1131045515244,12.1508765637378,12.3891513439573,12.3643603569969
"ENSG00000004468.13",10.5365738597496,9.7461335801452,9.94560051883249,10.0692335145779,9.77652281864828,10.638623441856,10.4925858735537,9.34812883406391,10.3289592620148,10.4153926087458,9.7626094793892,10.2444098816091,9.07598585376086,11.3307549598707,9.61439108032399,9.26557006939573
"ENSG00000004478.8",10.0542307242715,10.0797432152052,10.1286074830074,10.3664104686121,10.0248990429517,10.1339570385919,9.99041809204521,10.1585653733159,9.9064203771966,10.0937928645581,10.1843999478574,10.0423455811749,10.4253959784434,10.3587386442128,10.3683364926226,10.678652669832
"ENSG00000004487.18",11.2050504225364,10.976480574495,10.6837225368724,10.6402611670781,10.6731847140161,10.7267713555318,10.8595913563671,10.8014023552817,10.6540394865078,11.0641576233552,11.0093076067893,10.7642490425049,10.4080291851518,11.005166654858,10.7403698341287,11.0797612381882
"ENSG00000004534.15",12.1464960445894,11.799525857943,12.0665532281537,11.7981182670315,12.0462670259814,12.0064865097555,12.1105942828729,11.9863065070349,12.1235131874469,12.3247623135328,11.8022757172714,11.8040663323467,11.4702541094552,12.1411152017986,11.8248791462889,12.1717931227364
"ENSG00000004660.15",9.58636512535179,10.5143270945772,9.73450017620949,9.89603682979163,9.39372882521585,9.96556000368922,9.59639987365249,10.3438971175894,9.94847843902401,10.3503196305909,10.4377269980534,10.038599904863,10.9835878944984,9.59934715940876,9.93380690387926,9.42622854925461
"ENSG00000004700.16",10.0283054939966,10.1592464564754,10.0847423986177,10.0291650844137,10.0702087281303,10.1500053297754,10.2933756922395,10.2040783140987,9.98332648110706,10.2362742147671,10.2244464191711,10.2082075500934,10.1381540022014,10.7406272058976,10.7268617721124,11.1533640287132
"ENSG00000004766.17",9.62420899559247,9.37996235898489,9.38491890820003,9.48589282165871,9.34241527803825,9.71781840445305,9.5507318965398,9.54633307834383,9.46294667205636,9.27161961638426,9.84576703396617,9.79531136589552,9.07228745923242,9.70560892678863,9.41284709322297,9.86606948303863
"ENSG00000004777.19",8.94307655875281,8.38603784840604,8.90917783123143,8.19073046669849,8.21400322639869,8.53204295648719,8.33703104437463,8.07843853572583,7.98147290192091,8.42399038343263,8.49667778897953,8.3532657249242,9.05364926426294,8.01072360006591,9.20848828909484,8.03674182186508
"ENSG00000004779.10",7.69589394815964,7.44114827891656,8.42311589137014,8.27942930568297,8.42997727693492,7.92464395428301,8.20427001566996,7.59493878299905,8.19937118713747,8.18681033002193,7.88975580356079,8.15920726116177,8.2964165711789,7.87141601210815,8.0155831586199,8.23972391898336
